Kategori;Poz No;Taným;Birim;2025 Birim Fiyat (TL)
KAPI & PENCERE;102404503;Desensiz çini köþe, her renk (10cm x 10cm);;330.00
ZEMÝN & DUVAR KAPLAMA;102404504;Desensiz rölyefli çini karo, her renk (20cm x 20cm);;310.00
KAPI & PENCERE;102404506;Desensiz rölyefli çini köþe, her renk (10cm x 10cm);;330.00
ZEMÝN & DUVAR KAPLAMA;102404507;Desenli çini karo, her renk (20cm x 20cm);;356.00
KAPI & PENCERE;102404509;Desenli çini köþe, her renk (10cm x 10cm);;402.00
ZEMÝN & DUVAR KAPLAMA;102404510;Desenli rölyefli çini karo, her renk (20cm x 20cm);;356.00
KAPI & PENCERE;102404512;Desenli rölyefli çini köþe, her renk (10cm x 10cm);;416.00
ZEMÝN & DUVAR KAPLAMA;102405200;Terrazo süpürgelik, 6-10cm yüklekliðinde, her kalýnlýkta, (her türlü yüzey iþlemli);;68.00
ZEMÝN & DUVAR KAPLAMA;102405201;Mermer agregalý merdiven basamaðý;;860.00
ZEMÝN & DUVAR KAPLAMA;102405202;Granit agregalý merdiven basamaðý;;973.00
ZEMÝN & DUVAR KAPLAMA;102405204;Kuvars-silis + mermer agregalý merdiven basamaðý;;1106.00
ZEMÝN & DUVAR KAPLAMA;102405221;Mermer agregalý L merdiven basamaðý;;1025.00
ZEMÝN & DUVAR KAPLAMA;102405222;Granit agregalý L merdiven basamaðý;;1172.00
ZEMÝN & DUVAR KAPLAMA;102405224;Kuvars-silis + mermer agregalý L merdiven basamaðý;;1257.00
ZEMÝN & DUVAR KAPLAMA;102405241;Merdiven süpürgelik ( L ) (Her türlü yüzey iþlemli);;125.00
ZEMÝN & DUVAR KAPLAMA;102405301;Mermer agregalý (düz) denizlik, parapet veya harpuþta;;1058.00
ZEMÝN & DUVAR KAPLAMA;102405302;Granit agregalý (düz) denizlik, parapet veya harpuþta;;1172.00
ZEMÝN & DUVAR KAPLAMA;102405303;Kuvars-silis+ mermer agregalý (düz) denizlik, parapet veya harpuþta;;1228.00
ZEMÝN & DUVAR KAPLAMA;102405321;Mermer agregalý ( L ) denizlik, parapet veya harpuþta;;1134.00
ZEMÝN & DUVAR KAPLAMA;102405322;Granit agregalý ( L ) denizlik, parapet veya harpuþta;;1190.00
ZEMÝN & DUVAR KAPLAMA;102405323;Kuvars-silis+ mermer agregalý ( L ) denizlik, parapet veya harpuþta;;1369.00
ZEMÝN & DUVAR KAPLAMA;102405341;Mermer agregalý ( U ) denizlik, parapet veya harpuþta;;1370.00
ZEMÝN & DUVAR KAPLAMA;102405342;Granit agregalý ( U ) denizlik, parapet veya harpuþta;;1492.00
ZEMÝN & DUVAR KAPLAMA;102405343;Kuvars-silis + mermer agregalý ( U ) denizlik, parapet veya harpuþta;;1653.00
ZEMÝN & DUVAR KAPLAMA;102405351;3 cm kalýnlýðýnda mermer, granit ve kuvars agregalý levha (çimento bazlý baðlayýcýlý);;416.00
ELEKTRÝK;102405401;Fabrikasýnda tek sýra kauçuk bant ile merdiven kaymazý yapýlmasý (Cilalama iþlemi yapýldýktan sonra, basamak ucunun 3-4 cm içine, 0.7 cm kanal açýlýr ve kauçuk bant yerleþtirilir);;77.00
ELEKTRÝK;102405402;Fabrikasýnda çift sýra kaçucuk bant ile merdiven kaymazý yapýlmasý (Cilalama iþlemi yapýldýktan sonra, basamak ucunun 3-4 cm içine, 3 cm ara ile 0.7 cm kanal açýlýr ve kauçuk bant yerleþtirilir);;122.00
SIHHÝ TESÝSAT;102405403;Fabrikasýnda kumlama þeklinde merdiven kaymazý yapýlmasý (Cilalama iþlemi yapýldýktan sonra, basamak ucunun 3-4 cm içine, 4-6 cm geniþlikte kumlama yapýlýr);;67.00
ELEKTRÝK;102405404;Fabrikasýnda aska bant þeklinde merdiven kaymazý yapýlmasý (Cilalama iþlemi yapýldýktan sonra, basamak ucunun 3-4 cm içine, ard arda 6-12 adet býçak ile kesilmek suretiyle, 0.3 cm derinlikte ve 0.3 cm geniþlikte kanallar açýlýr);;67.00
SIHHÝ TESÝSAT;102405405;Fabrikasýnda köþe kordon þeklinde tek sýra kauçuk ile merdiven kaymazý yapýlmasý (Basamak ucuna üretim aþamasýnda 4x2 cm ölçülerinde kauçuk yerleþtirilir basamak ile birlikte cilalanýr);;151.00
SIHHÝ TESÝSAT;102405406;Fabrikasýnda reçineli bant þeklinde merdiven kaymazý yapýlmasý (Cilalama iþlemi yapýldýktan sonra, basamak ucunun 3-4 cm içine, 0,5 cm derinlikte, 3-5 cm geniþlikte açýlan yuva reçine esaslý baðlayýcý ile silisyum doldurulur.);;127.00
BOYA & ALÇI;102405506;Makina Sýva Alçýsý;;1.95
BOYA & ALÇI;102405507;Perlitli Sýva Alçýsý;;1.69
BOYA & ALÇI;102405508;Ýnce Uygulanabilir Alçý (Saten Alçý);;3.09
BOYA & ALÇI;102405509;Liflerle Güçlendirilmiþ Elemanlar Ýçin Yapý Alçýsý;;1.70
BOYA & ALÇI;102405510;Örgü Alçýsý;;1.95
ZEMÝN & DUVAR KAPLAMA;102405513;Derz Dolgu Alçýsý (TS EN 13963);;2.85
BOYA & ALÇI;102405514;Yapýþtýrma Alçýsý (TS EN 14496);;2.85
BOYA & ALÇI;102405517;Alçý Esaslý Kendiliðinden Yayýlan Zemin Tesviye Harcý (TS EN 13813);;6.76
BOYA & ALÇI;102405518;Alçý Esaslý Hazýr Karýþým Zemin Harcý (TS EN 13813);;1.70
BOYA & ALÇI;102405581;6 - 6,5  mm kalýnlýðýnda standart (Tip A) alçý levha;;82.00
BOYA & ALÇI;102405582;9,5 mm kalýnlýðýnda standart (Tip A) alçý levha;;34.00
BOYA & ALÇI;102405583;12,5 mm kalýnlýðýnda standart (Tip A) alçý levha;;35.00
BOYA & ALÇI;102405584;15 mm kalýnlýðýnda standart (Tip A) alçý levha;;46.00
BOYA & ALÇI;102405585;18 mm kalýnlýðýnda standart (Tip A) alçý levha;;101.00
BOYA & ALÇI;102405593;12,5 mm kalýnlýðýnda su emme oraný azaltýlmýþ (Tip H1) alçý levha;;56.00
BOYA & ALÇI;102405594;15 mm kalýnlýðýnda su emme oraný azaltýlmýþ (Tip H1) alçý levha;;71.00
BOYA & ALÇI;102405595;18 mm kalýnlýðýnda su emme oraný azaltýlmýþ (Tip H1) alçý levha;;157.00
BOYA & ALÇI;102405603;12,5 mm kalýnlýðýnda su emme oraný azaltýlmýþ (Tip H2) alçý levha;;50.00
BOYA & ALÇI;102405604;15 mm kalýnlýðýnda su emme oraný azaltýlmýþ (Tip H2) alçý levha;;64.00
BOYA & ALÇI;102405605;18 mm kalýnlýðýnda su emme oraný azaltýlmýþ (Tip H2) alçý levha;;140.00
BOYA & ALÇI;102405613;12,5 mm kalýnlýðýnda yangýna dayanýmý artýrýlmýþ (Tip F) alçý levha;;49.50
BOYA & ALÇI;102405614;15 mm kalýnlýðýnda yangýna dayanýmý artýrýlmýþ (Tip F) alçý levha;;59.00
BOYA & ALÇI;102405615;18 mm kalýnlýðýnda yangýna dayanýmý artýrýlmýþ (Tip F) alçý levha;;130.00
BOYA & ALÇI;102405623;12,5 mm kalýnlýðýnda yangýna dayanýmý artýrýlmýþ ve su emme oraný azaltýlmýþ (Tip FH1) alçý levha;;73.50
BOYA & ALÇI;102405624;15 mm kalýnlýðýnda yangýna dayanýmý artýrýlmýþ ve su emme oraný azaltýlmýþ (Tip FH1) alçý levha;;85.50
BOYA & ALÇI;102405625;18 mm kalýnlýðýnda yangýna dayanýmý artýrýlmýþ ve su emme oraný azaltýlmýþ (Tip FH1) alçý levha;;186.00
BOYA & ALÇI;102405633;12,5 mm kalýnlýðýnda yangýna dayanýmý artýrýlmýþ ve su emme oraný azaltýlmýþ (Tip FH2) alçý levha;;66.00
BOYA & ALÇI;102405634;15 mm kalýnlýðýnda yangýna dayanýmý artýrýlmýþ ve su emme oraný azaltýlmýþ (Tip FH2) alçý levha;;77.00
BOYA & ALÇI;102405635;18 mm kalýnlýðýnda yangýna dayanýmý artýrýlmýþ ve su emme oraný azaltýlmýþ (Tip FH2) alçý levha;;172.00
BOYA & ALÇI;102405643;12,5 mm kalýnlýðýnda yoðunluðu ve yangýna dayanýmý artýrýlmýþ (Tip DF) alçý levha;;54.00
BOYA & ALÇI;102405644;15 mm kalýnlýðýnda yoðunluðu ve yangýna dayanýmý artýrýlmýþ (Tip DF) alçý levha;;66.00
BOYA & ALÇI;102405653;12,5 mm kalýnlýðýnda yüzey sertliði ve kýrýlma dayanýmý artýrýlmýþ (Tip IR) alçý levha;;52.00
BOYA & ALÇI;102405654;15 mm kalýnlýðýnda yüzey sertliði ve kýrýlma dayanýmý artýrýlmýþ (Tip IR) alçý levha;;66.00
BOYA & ALÇI;102405673;12,5 mm kalýnlýðýnda yoðunluðu, yangýna dayanýmý, yüzey sertliði ve kýrýlma dayanýmý artýrýlmýþ (Tip DFIR) alçý levha;;54.00
BOYA & ALÇI;102405674;15 mm kalýnlýðýnda yoðunluðu, yangýna dayanýmý, yüzey sertliði ve kýrýlma dayanýmý artýrýlmýþ (Tip DFIR) alçý levha;;69.00
BOYA & ALÇI;102405683;12,5 mm kalýnlýðýnda yangýna dayanýmý artýrýlmýþ, su emme oraný azaltýlmýþ, yüzey sertliði ve kýrýlma dayanýmý artýrýlmýþ (Tip FH2IR) alçý levha;;56.00
BOYA & ALÇI;102405684;15 mm kalýnlýðýnda yangýna dayanýmý artýrýlmýþ, su emme oraný azaltýlmýþ, yüzey sertliði ve kýrýlma dayanýmý artýrýlmýþ (Tip FH2IR) alçý levha;;70.00
BOYA & ALÇI;102405693;12,5 mm kalýnlýðýnda yoðunluðu ve yangýna dayanýmý artýrýlmýþ, su emme oraný azaltýlmýþ, yüzey sertliði ve kýrýlma dayanýmý artýrýlmýþ (Tip DFH1IR) alçý levha;;95.00
BOYA & ALÇI;102405694;15 mm kalýnlýðýnda yoðunluðu ve yangýna dayanýmý artýrýlmýþ, su emme oraný azaltýlmýþ, yüzey sertliði ve kýrýlma dayanýmý artýrýlmýþ (Tip DFH1IR) alçý levha;;109.00
BOYA & ALÇI;102405703;12,5 mm kalýnlýðýnda yoðunluðu ve yangýna dayanýmý artýrýlmýþ, su emme oraný azaltýlmýþ, yüzey sertliði ve kýrýlma dayanýmý artýrýlmýþ (Tip DFH2IR) alçý levha;;86.00
BOYA & ALÇI;102405704;15 mm kalýnlýðýnda yoðunluðu ve yangýna dayanýmý artýrýlmýþ, su emme oraný azaltýlmýþ, yüzey sertliði ve kýrýlma dayanýmý artýrýlmýþ (Tip DFH2IR) alçý levha;;97.50
SIHHÝ TESÝSAT;102405713;12,5 mm kalýnlýðýnda her iki yüzü cam elyaf þilte kaplý, yangýna dayanýmý artýrýlmýþ, su emme oraný azaltýlmýþ, (Tip GM-FH1) alçý levha;;91.00
SIHHÝ TESÝSAT;102405714;15 mm kalýnlýðýnda her iki yüzü cam elyaf þilte kaplý, yangýna dayanýmý artýrýlmýþ, su emme oraný azaltýlmýþ, (Tip GM-FH1) alçý levha;;105.00
SIHHÝ TESÝSAT;102405723;12,5 mm kalýnlýðýnda her iki yüzü cam elyaf þilte kaplý, yangýna dayanýmý artýrýlmýþ, su emme oraný azaltýlmýþ, kýrýlma dayanýmý artýrýlmýþ (Tip GM-FH1R) alçý levha;;101.00
SIHHÝ TESÝSAT;102405724;15 mm kalýnlýðýnda her iki yüzü cam elyaf þilte kaplý, yangýna dayanýmý artýrýlmýþ, su emme oraný azaltýlmýþ, kýrýlma dayanýmý artýrýlmýþ (Tip GM-FH1R) alçý levha;;113.00
SIHHÝ TESÝSAT;102405733;12,5 mm kalýnlýðýnda her iki yüzü cam elyaf þilte kaplý, yangýna dayanýmý ve kýrýlma dayanýmý artýrýlmýþ (Tip GM-FR) alçý levha;;113.00
SIHHÝ TESÝSAT;102405734;15 mm kalýnlýðýnda her iki yüzü cam elyaf þilte kaplý, yangýna dayanýmý ve kýrýlma dayanýmý artýrýlmýþ (Tip GM-FR) alçý levha;;178.00
SIHHÝ TESÝSAT;102405735;20 mm kalýnlýðýnda her iki yüzü cam elyaf þilte kaplý, yangýna dayanýmý ve kýrýlma dayanýmý artýrýlmýþ (Tip GM-FR) alçý levha;;331.00
SIHHÝ TESÝSAT;102405736;25 mm kalýnlýðýnda her iki yüzü cam elyaf þilte kaplý, yangýna dayanýmý ve kýrýlma dayanýmý artýrýlmýþ (Tip GM-FR) alçý levha;;427.00
SIHHÝ TESÝSAT;102405743;12,5 mm kalýnlýðýnda her iki yüzü cam elyaf þilte kaplý, yangýna dayanýmý artýrýlmýþ (Tip GM-F) alçý levha;;105.00
SIHHÝ TESÝSAT;102405744;15 mm kalýnlýðýnda her iki yüzü cam elyaf þilte kaplý, yangýna dayanýmý artýrýlmýþ (Tip GM-F) alçý levha;;169.00
SIHHÝ TESÝSAT;102405745;20 mm kalýnlýðýnda her iki yüzü cam elyaf þilte kaplý, yangýna dayanýmý artýrýlmýþ (Tip GM-F) alçý levha;;322.00
SIHHÝ TESÝSAT;102405746;25 mm kalýnlýðýnda her iki yüzü cam elyaf þilte kaplý, yangýna dayanýmý artýrýlmýþ (Tip GM-F) alçý levha;;407.00
BOYA & ALÇI;102405753;Alçý harcý ve selüloz karýþýmýndan oluþan, 10 mm kalýnlýðýnda levha;;73.00
BOYA & ALÇI;102405754;Alçý harcý ve selüloz karýþýmýndan oluþan, 12,5 mm kalýnlýðýnda levha;;87.00
BOYA & ALÇI;102405755;Alçý harcý ve selüloz karýþýmýndan oluþan, 15 mm kalýnlýðýnda levha;;95.00
ZEMÝN & DUVAR KAPLAMA;102405763;8 mm kalýnlýkta, 60x60 cm ebatlarýnda alçý tavan karosu (Tip A);;45.50
ZEMÝN & DUVAR KAPLAMA;102405764;9,5 mm kalýnlýkta, 60x60 cm ebatlarýnda, önyüzü boyalý, alçý tavan karosu (Tip A);;53.00
ZEMÝN & DUVAR KAPLAMA;102405765;8 mm kalýnlýkta, 60x60 cm ebatlarýnda, ön yüzü pvc, arka yüzü metal film kaplý alçý tavan karosu (Tip A);;56.00
ZEMÝN & DUVAR KAPLAMA;102405766;9,5 mm kalýnlýkta, 60x60 cm ebatlarýnda, ön yüzü pvc, arka yüzü metal film kaplý alçý tavan karosu (Tip A);;70.00
ZEMÝN & DUVAR KAPLAMA;102405768;9,5 mm kalýnlýkta, 60x60 cm ebatlarýnda, ön yüzü boyalý, su emme oraný azaltýlmýþ alçý tavan karosu (Tip H2);;87.00
ZEMÝN & DUVAR KAPLAMA;102405780;9,5 mm kalýnlýkta, 60x60 cm ebatlarýnda, ön yüzü pvc, arka yüzü metal film kaplý, su emme oraný azaltýlmýþ alçý tavan karosu (Tip H2);;99.00
ZEMÝN & DUVAR KAPLAMA;102405782;9,5 mm kalýnlýkta, 60x60 cm ebatlarýnda, ön yüzü boyalý, arka yüzü cam tülü kaplý, delikli alçý tavan karosu (TÝP A);;101.00
ZEMÝN & DUVAR KAPLAMA;102405784;9,5 mm kalýnlýkta, 60x120 cm ebatlarýnda, ön yüzü boyalý, arka yüzü cam tülü kaplý, delikli alçý tavan karosu (TÝP A);;101.00
ZEMÝN & DUVAR KAPLAMA;102405786;9,5 mm kalýnlýkta, 60x60 cm ebatlarýnda, ön yüzü pvc kaplý, arka yüzü cam tülü kaplý, delikli alçý tavan karosu (TÝP A);;105.00
BOYA & ALÇI;102405791;12,5 mm kalýnlýkta, bir yüzü cam tülü kaplý, daðýnýk delikli, alçý levha (Tip A);;200.00
BOYA & ALÇI;102405792;12,5 mm kalýnlýkta, bir yüzü cam tülü kaplý, sürekli delikli, alçý levha (Tip A);;140.00
BOYA & ALÇI;102405793;12,5 mm kalýnlýkta, bir yüzü cam tülü kaplý, delikli bordürlü, alçý levha (Tip A);;117.00
ZEMÝN & DUVAR KAPLAMA;102405794;7 mm kalýnlýkta, 60x60 cm ebatlarýnda, ön yüzü boyalý,  alçý tavan karosu (Tip A);;51.00
KAPI & PENCERE;102406002;Heterojen (Grup:T) Üst tabaka kalýnlýðý min.0,55 mm saf PVC (Aþýnma-kalýnlýk kaybý: AL?0,08 mm veya Hacim kaybý Fv?2,0 mm3) (Kalýcý batma?0.10 mm);;300.00
KAPI & PENCERE;102406010;Heterojen (Grup:T) Üst tabaka kalýnlýðý min.0,70 mm saf PVC (Aþýnma-kalýnlýk kaybý: AL?0,08 mm veya Hacim kaybý Fv?2,0 mm3) (Kalýcý batma?0.10 mm);;350.00
KAPI & PENCERE;102406021;Islak mekanlarda Üst aþýnma tabaka kalýnlýðý min.0,55 mm saf PVC;;500.00
KAPI & PENCERE;102406022;Eðimli yüzeylerde (rampalarda) Üst aþýnma tabaka kalýnlýðý min.0,70 mm saf PVC;;600.00
ZEMÝN & DUVAR KAPLAMA;102406051;PVC esaslý esnek süpürgelik;;30.00
ZEMÝN & DUVAR KAPLAMA;102406052;PVC esaslý kendinden dönüþlü kepli süpürgelik;;45.00
BOYA & ALÇI;102406054;PVC esaslý geçiþ profili (4 cm geniþliðinde - min. 2 mm et kalýnlýðýnda);;40.00
BOYA & ALÇI;102406055;Alüminyum esaslý geçiþ profili (4 cm geniþliðinde);;70.00
KAPI & PENCERE;102406056;PVC esaslý merdiven burunluðu;;50.00
BOYA & ALÇI;102406057;PVC esaslý sýva dibi yastýk;;25.00
ZEMÝN & DUVAR KAPLAMA;102406058;Akrilik Esaslý PVC Yapýþtýrýcý;;90.00
ZEMÝN & DUVAR KAPLAMA;102406059;Akrilik Esaslý Karbon Takviyeli Ýletken PVC Yapýþtýrýcý;;150.00
ZEMÝN & DUVAR KAPLAMA;102406105;Akrilik esaslý linolyum yapýþtýrýcý;;75.00
KAPI & PENCERE;102406501;60x60cm ebatlarýnda, 0,70mm kalýnlýðýnda, EN AW 3000 serisi alüminyum deliksiz plaka;;345.00
KAPI & PENCERE;102406502;60x60cm ebatlarýnda, 0,70mm kalýnlýðýnda, EN AW 3000 serisi alüminyum delikli plaka;;360.00
KAPI & PENCERE;102406503;60x60cm ebatlarýnda, 0,70mm kalýnlýðýnda, EN AW 3000 serisi alüminyum delikli, arka yüzeyi akustik kumaþ kaplý plaka;;410.00
KAPI & PENCERE;102406504;30x30cm ebatlarýnda 0,50mm kalýnlýðýnda, EN AW 3000 serisi alüminyum deliksiz plaka;;380.00
KAPI & PENCERE;102406505;30x30cm ebatlarýnda 0,70mm kalýnlýðýnda, EN AW 3000 serisi alüminyum deliksiz plaka;;395.00
KAPI & PENCERE;102406506;30x30cm ebatlarýnda 0,50mm kalýnlýðýnda, EN AW 3000 serisi alüminyum delikli plaka;;385.00
KAPI & PENCERE;102406507;30x30cm ebatlarýnda 0,70mm kalýnlýðýnda, EN AW 3000 serisi alüminyum delikli plaka;;395.00
KAPI & PENCERE;102406508;30x30cm ebatlarýnda 0,50mm kalýnlýðýnda, EN AW 3000 serisi alüminyum delikli arka yüzeyi akustik kumaþ kaplý plaka;;395.00
KAPI & PENCERE;102406509;30x30cm ebatlarýnda 0,70mm kalýnlýðýnda, EN AW 3000 serisi alüminyum delikli arka yüzeyi akustik kumaþ kaplý plaka;;410.00
ZEMÝN & DUVAR KAPLAMA;102406652;85 mm geniþliðinde 0,50 mm kalýnlýðýnda (kendinden derzli);;460.00
ZEMÝN & DUVAR KAPLAMA;102406655;100mm geniþliðinde 0,50 mm kalýnlýðýnda (kendinden derzli);;430.00
ZEMÝN & DUVAR KAPLAMA;102406659;15 mm geniþliðinde, 0.50 mm kalýnlýðýnda derz çýtasý;;40.00
ZEMÝN & DUVAR KAPLAMA;102406660;20 mm geniþilðinde, 0.50 mm kalýnlýðýnda derz çýtasý;;40.00
BOYA & ALÇI;102406661;Kenar U profili (0.50 mm kalýnlýðýnda);;32.00
BOYA & ALÇI;102406681;0,50mm kalýnlýðýnda min.20mm eninde sýcak daldýrma galvanizli sac U profili;;11.00
BOYA & ALÇI;102406682;0,60mm kalýnlýðýnda minimum 48mm eninde sýcak daldýrma galvanizli sac C profili;;20.00
KAPI & PENCERE;102406684;1mm kalýnlýðýnda min.48mm eninde galvaniz sac pencere tespit elemaný;;7.00
BOYA & ALÇI;102406731;15 mm kalýnlýðýnda, ön yüzü boyalý, 50 kg/m³ yoðunlukta camyünü asma tavan levhasý;;355.00
BOYA & ALÇI;102406732;40 mm kalýnlýðýnda, her iki yüzü akustik kumaþ kaplý veya boyalý, 95 kg/m³ yoðunlukta camyünü duvar levhasý;;2000.00
BOYA & ALÇI;102406733;40 mm kalýnlýðýnda, ön yüzü akustik kumaþ kaplý veya boyalý, arka yüzü camtülü kaplý, 95 kg/m³ yoðunlukta camyünü asma tavan levhasý;;1780.00
KAPI & PENCERE;102406734;20 mm kalýnlýðýnda, ön yüzü akustik kumaþ kaplý, arka yüzü camtülü kaplý, 95 kg/m³ yoðunlukta camyünü duvar levhasý;;1280.00
KAPI & PENCERE;102406735;40 mm kalýnlýðýnda, ön yüzü akustik kumaþ kaplý, arka yüzü camtülü kaplý, 95 kg/m³ yoðunlukta camyünü duvar levhasý;;1700.00
BOYA & ALÇI;102406751;12 mm kalýnlýðýnda, Min. %70 baðýl nem dayanýmýna sahip, TS EN ISO 11654 e göre alpha w deðeri min. 0,45 olan beyaz boyalý taþyünü asma tavan plakasý;;120.00
BOYA & ALÇI;102406752;15 mm kalýnlýðýnda, Min. %70 baðýl nem dayanýmýna sahip, TS EN ISO 11654 e göre alpha w deðeri min. 0,55 olan beyaz boyalý taþyünü asma tavan plakasý;;132.50
BOYA & ALÇI;102406753;15 mm kalýnlýðýnda, Min. %90 baðýl nem dayanýmýna sahip, TS EN ISO 11654 e göre alpha w deðeri min. 0.60 olan, Dnfw degeri min. 29 dDB olan, kumlu ve delikli, beyaz boyalý taþyünü asma tavan plakasý, küt kenar bitiþli asma tavan plakasý;;195.00
BOYA & ALÇI;102406754;15 mm kalýnlýðýnda, Min. %95 baðýl nem dayanýmýna sahip, TS EN ISO 11654 e göre alpha w deðeri min. 0.60 olan, Dnfw degeri min. 31 dDB olan, ince delikli , beyaz boyalý taþyünü asma tavan plakasý, küt kenar bitiþli asma tavan plakasý;;175.00
BOYA & ALÇI;102406755;15 mm kalinliginda, %95 baðýl nem dayanimina sahip, TS EN ISO 11654'e gore alpha w degeri min 0.55, Dnfw min 32 dB olan, beyaz kumlu yüzeye sahip, küt kenar bitiþli asma tavan plakasý.;;315.00
BOYA & ALÇI;102406756;15 mm kalinliginda, %95 baðýl nem dayanimina sahip, TS EN ISO 11654'e gore alpha w degeri min 0.80, Dnfw min 25 dB olan, beyaz laminasyon yüzeyli, küt kenar bitiþli asma tavan plakasý.;;345.00
BOYA & ALÇI;102406757;Min 19 mm kalinliginda, %95 baðýl nem dayanimina sahip, TS EN ISO 11654'e gore alpha w degeri 0.95, Dnfw min 25 dB olan, beyaz laminasyon yüzeyli, küt kenar bitiþli asma tavan plakasý.;;440.00
BOYA & ALÇI;102406758;Min 19 mm kalinliginda, %95 baðýl nem dayanimina sahip, TS EN ISO 11654'e gore alpha w degeri 1.0, Dnfw min 24 dB olan, beyaz laminasyon yüzeyli, küt kenar bitiþli asma tavan plakasý.;;530.00
BOYA & ALÇI;102406759;19 mm kalinliginda, %95 baðýl nem dayanimina sahip, TS EN ISO 11654'e gore alpha w degeri 0.60, Dnfw min 40 dB olan,  beyaz laminasyon yüzeyli, küt kenar bitiþli asma tavan plakasý.;;680.00
BOYA & ALÇI;102406771;15 mm kalýnlýðýnda, Min. %95 baðýl nem dayanýmýna sahip, TS EN ISO 11654 e göre alpha w deðeri min. 0.60, Dnfw degeri min. 31 dDB olan, ince delikli , beyaz boyalý taþyünü asma tavan plakasý, T24'e sarkmali kenar bitiþli asma tavan plakasý.;;280.00
BOYA & ALÇI;102406772;15 mm kalinliginda, %95 baðýl nem dayanimina sahip, TS EN ISO 11654'e gore alpha w degeri min 0.55, Dnfw min 35 dB olan, beyaz kumlu yüzeye sahip, T24'e sarkmali kenar bitiþli asma tavan plakasý.;;355.00
BOYA & ALÇI;102406773;15 mm kalinliginda, %95 baðýl nem dayanimina sahip, TS EN ISO 11654'e gore alpha w degeri min 0.80, Dnfw min 25 dB olan, beyaz laminasyon yüzeyli, T24'e sarkmali kenar bitiþli asma tavan plakasý.;;345.00
BOYA & ALÇI;102406774;Min. 19 mm kalinliginda, %95 baðýl nem dayanimina sahip, TS EN ISO 11654'e gore alpha w degeri 0.95, Dnfw min 25 dB olan, beyaz laminasyon yüzeyli, T24'e sarkmali kenar bitiþli asma tavan plakasý.;;530.00
BOYA & ALÇI;102406775;Min. 19 mm kalinliginda, %95 baðýl nem dayanimina sahip, TS EN ISO 11654'e gore alpha w degeri 1.0, Dnfw min 24 dB olan, beyaz laminasyon yüzeyli,  T24'e sarkmali kenar bitiþli asma tavan plakasý.;;585.00
BOYA & ALÇI;102406776;19 mm kalinliginda, %95 baðýl nem dayanimina sahip, TS EN ISO 11654'e gore alpha w degeri 0.60, Dnfw min 40 dB olan,  beyaz laminasyon yüzeyli, T24'e sarkmali kenar bitiþli asma tavan plakasý.;;740.00
BOYA & ALÇI;102406791;15 mm kalýnlýðýnda, Min. %95 baðýl nem dayanýmýna sahip, TS EN ISO 11654 e göre alpha w deðeri min. 0.60 olan, Dnfw degeri min. 31 dDB olan, ince delikli , beyaz boyalý taþyünü asma tavan plakasý, T15'e sarkmali kenar bitiþli asma tavan plakasý.;;310.00
BOYA & ALÇI;102406792;15 mm kalinliginda, %95 baðýl nem dayanimina sahip, TS EN ISO 11654'e gore alpha w degeri min 0.55, Dnfw min 35 dB olan, beyaz kumlu yüzeye sahip, T15'e sarkmali kenar bitiþli asma tavan plakasý.;;390.00
BOYA & ALÇI;102406793;15 mm kalinliginda, %95 baðýl nem dayanimina sahip, TS EN ISO 11654'e gore alpha w degeri min 0.85, Dnfw min 25 dB olan, beyaz laminasyon yüzeyli, T15'e sarkmali kenar bitiþli asma tavan plakasý.;;410.00
BOYA & ALÇI;102406794;Min. 19 mm kalinliginda, %95 baðýl nem dayanimina sahip, TS EN ISO 11654'e gore alpha w degeri 0.95, Dnfw min 25 dB olan, beyaz laminasyon yüzeyli, T15'e sarkmali kenar bitiþli asma tavan plakasý.;;530.00
BOYA & ALÇI;102406795;Min. 19 mm kalinliginda, %95 baðýl nem dayanimina sahip, TS EN ISO 11654'e gore alpha w degeri 1.0, Dnfw min 24 dB olan, beyaz laminasyon yüzeyli, T15'e sarkmali kenar bitiþli asma tavan plakasý.;;565.00
BOYA & ALÇI;102406796;19 mm kalinliginda, %95 baðýl nem dayanimina sahip, TS EN ISO 11654'e gore alpha w degeri 0.60, Dnfw min 40 dB olan,  beyaz laminasyon yüzeyli, T15'e sarkmali kenar bitiþli asma tavan plakasý.;;745.00
BOYA & ALÇI;102406811;19 mm kalinliginda, %95 baðýl nem dayanimina sahip, TS EN ISO 11654'e gore alpha w degeri 0.75, Dnfw min 33 dB olan,  beyaz laminasyon yüzeyli, T24 tasiyiciyi gizleyen kenar detayina sahip asma tavan plakasý.;;820.00
BOYA & ALÇI;102406812;19 mm kalinliginda, %95 baðýl nem dayanimina sahip, TS EN ISO 11654'e gore alpha w degeri 0.65, Dnfw min 35 dB olan,  beyaz kumlu yüzeye sahip, T24 tasiyiciyi gizleyen kenar detayina sahip asma tavan plakasý.;;480.00
BOYA & ALÇI;102406813;17 mm kalinliginda, %95 baðýl nem dayanimina sahip, TS EN ISO 11654'e gore alpha w degeri min 0.90 olan, Dnfw degeri min 29 dB olan,  beyaz laminasyon yüzeyli, T24 tasiyiciyi gizleyen kenar detayina sahip asma tavan plakasý.;;740.00
KAPI & PENCERE;102407201;Sert PVC den yapýlmýþ binalarýn dýþ cephelerinde kullanýlan kaplama levhasý (TS 10883);;200.00
